id,key,value,type
30979324,created_by,JOSM,regular
42425964,barrier,lift_gate,regular
42427278,highway,traffic_signals,regular
42427324,highway,traffic_signals,regular
42428174,highway,traffic_signals,regular
42428368,highway,traffic_signals,regular
42428402,highway,traffic_signals,regular
42428433,highway,traffic_signals,regular
42428464,highway,traffic_signals,regular
42429373,highway,traffic_signals,regular
42429563,highway,traffic_signals,regular
42429806,highway,traffic_signals,regular
42430030,highway,traffic_signals,regular
42430126,highway,traffic_signals,regular
42430126,crossing,traffic_signals,regular
42430167,highway,traffic_signals,regular
42430247,highway,traffic_signals,regular
42430782,highway,traffic_signals,regular
42430848,highway,stop,regular
42430942,highway,traffic_signals,regular
42431459,highway,traffic_signals,regular
42431802,highway,traffic_signals,regular
42432060,highway,traffic_signals,regular
42432085,highway,traffic_signals,regular
42432156,highway,traffic_signals,regular
42432191,highway,traffic_signals,regular
42432246,highway,traffic_signals,regular
42433281,highway,traffic_signals,regular
42433547,highway,traffic_signals,regular
42433574,highway,traffic_signals,regular
42434215,highway,traffic_signals,regular
42435451,highway,traffic_signals,regular
42435581,highway,traffic_signals,regular
42435931,highway,traffic_signals,regular
42436060,highway,traffic_signals,regular
42436149,highway,traffic_signals,regular
42436316,highway,traffic_signals,regular
42436355,highway,traffic_signals,regular
42436393,highway,traffic_signals,regular
42436793,highway,traffic_signals,regular
42436941,highway,traffic_signals,regular
42437128,highway,traffic_signals,regular
42437349,highway,traffic_signals,regular
42437481,highway,traffic_signals,regular
42437559,highway,traffic_signals,regular
42437775,highway,traffic_signals,regular
42437980,highway,traffic_signals,regular
42439203,highway,traffic_signals,regular
42440287,highway,traffic_signals,regular
42440350,highway,traffic_signals,regular
42440754,highway,traffic_signals,regular
42440823,highway,traffic_signals,regular
42440918,highway,traffic_signals,regular
42440918,traffic_signals,signal,regular
42442255,highway,traffic_signals,regular
42442862,highway,traffic_signals,regular
42444833,highway,traffic_signals,regular
42445574,highway,traffic_signals,regular
42446547,highway,traffic_signals,regular
42447246,highway,traffic_signals,regular
42448430,highway,traffic_signals,regular
42448558,highway,traffic_signals,regular
42448714,highway,traffic_signals,regular
42449067,highway,traffic_signals,regular
42451660,highway,traffic_signals,regular
42452026,highway,traffic_signals,regular
42453059,highway,traffic_signals,regular
42453175,highway,traffic_signals,regular
42453691,highway,traffic_signals,regular
42453902,highway,traffic_signals,regular
42454423,highway,traffic_signals,regular
42455051,highway,traffic_signals,regular
42456303,highway,traffic_signals,regular
42457319,highway,traffic_signals,regular
42457735,highway,traffic_signals,regular
42459436,highway,traffic_signals,regular
42460963,highway,traffic_signals,regular
42461394,highway,traffic_signals,regular
42461988,highway,traffic_signals,regular
42463398,highway,traffic_signals,regular
42464067,highway,traffic_signals,regular
42464631,highway,traffic_signals,regular
42465082,highway,traffic_signals,regular
42465156,highway,traffic_signals,regular
42465156,crossing,traffic_signals,regular
42465191,highway,traffic_signals,regular
42465191,traffic_signals,signal,regular
42465233,highway,traffic_signals,regular
42465535,highway,traffic_signals,regular
42465566,highway,traffic_signals,regular
42465660,highway,traffic_signals,regular
42465717,highway,traffic_signals,regular
42465758,highway,traffic_signals,regular
42465785,highway,traffic_signals,regular
42465810,highway,traffic_signals,regular
42465920,highway,traffic_signals,regular
42465939,highway,traffic_signals,regular
42468587,highway,traffic_signals,regular
42468744,highway,traffic_signals,regular
42468818,highway,traffic_signals,regular
42468960,highway,traffic_signals,regular
42469026,highway,traffic_signals,regular
42469026,crossing,traffic_signals,regular
42469053,highway,traffic_signals,regular
42469382,highway,traffic_signals,regular
42469382,traffic_signals,signal,regular
42471265,highway,traffic_signals,regular
