id,user,uid,version,changeset,timestamp
4820652,3yoda,632378,15,38088471,2016-03-26T19:08:13Z
5669077,NE2,207745,8,3404563,2009-12-19T01:51:40Z
5669320,calfarome,2511706,13,39668862,2016-05-30T16:01:21Z
5669636,wambag,326503,16,38825153,2016-04-24T04:48:21Z
5669829,robgeb,336460,4,34509271,2015-10-08T12:21:45Z
5669922,infinitesunrise,4434293,17,41811184,2016-08-30T20:49:22Z
5670010,headwatersolver,3521724,10,39039617,2016-05-02T14:16:36Z
5670077,wvdp,436419,7,41347198,2016-08-09T14:58:18Z
5670168,Gone,120468,4,3095472,2009-11-12T04:50:43Z
5670205,robgeb,336460,12,33950487,2015-09-11T09:08:08Z
5670402,wambag,326503,11,39029414,2016-05-02T04:15:09Z
5670498,ALE!,40023,5,35948124,2015-12-14T15:37:18Z
5670560,headwatersolver,3521724,8,39039617,2016-05-02T14:16:42Z
5670633,marek kleciak,338611,8,34586338,2015-10-12T11:08:45Z
5670703,wambag,326503,10,39009073,2016-05-01T02:56:49Z
5670778,JessAk71,381909,4,7911529,2011-04-19T22:05:08Z
5670836,RichRico,2219338,13,39542980,2016-05-24T19:38:40Z
5670909,SteveC,682,3,323613,2008-06-28T21:26:38Z
5670941,robgeb,336460,5,11405505,2012-04-24T13:53:18Z
5671111,ALE!,40023,13,40718777,2016-07-13T17:41:48Z
5671202,infinitesunrise,4434293,18,41900011,2016-09-04T03:48:30Z
5671326,headwatersolver,3521724,7,37318976,2016-02-19T21:43:20Z
5671413,chdr,165869,4,2756002,2009-10-05T23:44:27Z
5671538,lxbarth_nycbuildings,1764427,4,19265137,2013-12-04T02:18:49Z
5671615,Ryan Lacy,3007205,15,36224344,2015-12-28T17:04:06Z
5671717,wambag,326503,15,39009737,2016-05-01T04:15:23Z
5671920,emacsen_dwg,1782960,13,28305379,2015-01-21T12:37:20Z
5672040,ALE!,40023,10,40741514,2016-07-14T15:21:27Z
5672146,Komяpa,29320,7,39555568,2016-05-25T12:46:48Z
5672203,Eliyak,439046,9,11772076,2012-06-01T23:10:32Z
5672331,ddstarr,72169,9,31634848,2015-06-01T13:49:40Z
5672434,bot-mode,451693,8,14794505,2013-01-26T16:26:39Z
5672535,chdr,165869,3,2756318,2009-10-06T00:51:00Z
5672706,asaf@streetsmart,3412719,8,41976597,2016-09-07T11:00:11Z
5672899,riordan,334742,16,35816401,2015-12-07T21:42:30Z
5672971,wambag,326503,13,39029016,2016-05-02T03:14:25Z
5673038,Ryan Lacy,3007205,9,36224720,2015-12-28T17:18:10Z
5673093,infinitesunrise,4434293,11,41811184,2016-08-30T20:49:37Z
5673299,ChrisZontine,1376118,5,19442440,2013-12-14T00:40:52Z
5673452,pathym,689176,11,16584699,2013-06-17T06:08:54Z
5673610,wambag,326503,7,38825153,2016-04-24T03:40:02Z
5673707,chdr,165869,2,3940068,2010-02-21T23:36:05Z
5673761,grouper,369983,4,21629261,2014-04-11T15:34:36Z
5673859,Korzun,1424765,9,28150569,2015-01-14T23:38:22Z
5673903,andrewpmk,1679,9,33203956,2015-08-08T16:06:13Z
5674010,Komяpa,29320,9,41235686,2016-08-04T11:44:44Z
5674081,NE2,207745,5,3430041,2009-12-22T22:43:35Z
5674160,NE2,207745,5,13328691,2012-10-01T22:29:24Z
5674228,MxxCon,384667,4,16106755,2013-05-13T06:56:28Z
5674275,Jason Wray,643374,8,39826962,2016-06-05T23:14:08Z
5674328,NE2,207745,7,3430041,2009-12-22T21:34:17Z
5674390,MxxCon,384667,4,16381558,2013-06-01T18:41:02Z
5674457,Shompol,24396,6,10461675,2012-01-22T04:13:48Z
5674520,tymberry,2300163,7,25122314,2014-08-30T17:10:14Z
5674843,RichRico,2219338,3,39545773,2016-05-24T22:02:23Z
5674915,chdr,165869,2,2788274,2009-10-08T22:57:27Z
5674982,navimont,73269,5,13050891,2012-09-09T22:27:02Z
5675029,ingalls,305985,4,12150960,2012-07-08T14:59:16Z
5675089,ingalls,305985,3,19476139,2013-12-16T04:52:04Z
5675169,Korzun,1424765,5,24444751,2014-07-30T14:50:27Z
5675253,ingalls,305985,5,20577055,2014-02-15T14:23:34Z
5675314,chdr,165869,2,3920441,2010-02-20T04:00:04Z
5675397,Jason Wray,643374,11,40327552,2016-06-27T18:32:57Z
5675447,theotherpaul,227415,4,7279445,2011-02-13T19:30:39Z
5675532,ingalls,305985,3,20256283,2014-01-28T23:09:15Z
5675612,Komяpa,29320,9,41235686,2016-08-04T11:44:43Z
5675769,ddstarr,72169,8,31475124,2015-05-26T14:52:21Z
5675844,KristenK,1494110,3,21788885,2014-04-19T01:48:41Z
5675904,watame,1380816,3,16255415,2013-05-23T17:26:45Z
5675980,Jason Wray,643374,5,35522786,2015-11-23T05:04:04Z
5676043,pathym,689176,7,16677811,2013-06-24T01:40:43Z
5676091,Xoan Manuel,840447,6,16149291,2013-05-16T08:24:50Z
5676155,NE2,207745,3,3439822,2009-12-24T04:35:25Z
5676243,ingalls,305985,3,13447602,2012-10-10T21:51:08Z
5676277,ediyes,1240849,7,32639454,2015-07-14T21:51:05Z
5676321,chdr,165869,3,3928709,2010-02-20T23:15:00Z
5676353,pathym,689176,5,16677811,2013-06-24T01:40:41Z
5676422,ingalls,305985,5,19476367,2013-12-16T05:26:03Z
5676463,mdk,178186,6,25991012,2014-10-10T20:26:08Z
5676490,chdr,165869,2,3940068,2010-02-22T00:20:42Z
5676522,lxbarth,589596,6,20820212,2014-02-28T02:27:11Z
5676563,chdr,165869,2,3958790,2010-02-23T22:46:19Z
5676626,RichRico,2219338,4,39545773,2016-05-24T22:02:20Z
5676684,bot-mode,451693,4,14794505,2013-01-26T16:27:23Z
5676714,RichRico,2219338,9,25010599,2014-08-25T18:16:13Z
5676776,RussNelson,3962,3,7479754,2011-03-06T23:19:02Z
5676795,chdr,165869,2,3958790,2010-02-23T23:04:58Z
5676833,infinitesunrise,4434293,10,41912050,2016-09-04T17:00:07Z
5676869,chdr,165869,2,3940068,2010-02-22T00:24:26Z
5676906,ingalls,305985,5,13481306,2012-10-13T16:41:55Z
5676920,chdr,165869,2,3431499,2009-12-23T02:55:52Z
5676952,Rub21,510836,8,20897315,2014-03-03T20:49:47Z
5677007,karitotp,2748195,12,39537350,2016-05-24T16:18:00Z
5677049,chdr,165869,2,3437618,2009-12-23T20:59:17Z
5677079,Dami_Tn,2012449,4,21785855,2014-04-19T00:09:03Z
5677137,chdr,165869,2,3948519,2010-02-22T23:47:04Z
5677160,sbook,345833,4,16504383,2013-06-11T02:46:53Z
5677185,chdr,165869,2,2799308,2009-10-10T01:52:02Z
5677210,KristenK,1494110,3,21788047,2014-04-19T00:49:56Z
5677237,MxxCon,384667,6,16844502,2013-07-06T05:57:14Z
5677273,chdr,165869,2,3958790,2010-02-23T22:19:02Z
5677301,Dami_Tn,2012449,3,21786832,2014-04-19T00:24:45Z
5677323,chdr,165869,2,3948519,2010-02-22T23:40:34Z
5677365,will l,35195,3,7970014,2011-04-25T23:34:48Z
5677394,Dami_Tn,2012449,4,21786832,2014-04-19T00:24:45Z
5677426,ingalls,305985,3,19476139,2013-12-16T04:52:05Z
5677454,Rub21_nycbuildings,1781294,11,19133768,2013-11-26T20:33:16Z
5677479,KristenK,1494110,4,21844588,2014-04-21T18:14:14Z
5677515,ebrelsford_nycbuildings,1764514,4,31519657,2015-05-28T02:44:52Z
5677529,Jason Wray,643374,16,39807199,2016-06-05T00:25:38Z
5677559,NE2,207745,3,3439822,2009-12-24T04:02:38Z
5677585,navimont,73269,6,13050891,2012-09-09T22:27:01Z
5677602,theotherpaul,227415,3,7280020,2011-02-13T20:25:11Z
